"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 28, 2019","266.70","267.15","268.27","266.51","320.99K","1.03%"
"Oct 25, 2019","263.99","262.30","264.54","261.92","555.80K","-0.37%"
"Oct 24, 2019","264.97","260.80","265.48","260.65","647.71K","2.84%"
"Oct 23, 2019","257.66","254.85","257.95","253.59","924.66K","0.93%"
"Oct 22, 2019","255.29","258.81","260.27","255.07","828.42K","-1.97%"
"Oct 21, 2019","260.43","257.78","261.00","257.10","839.65K","2.36%"
"Oct 18, 2019","254.42","253.99","255.30","252.33","1.65M","0.26%"
"Oct 17, 2019","253.76","256.19","257.17","253.26","1.55M","-0.28%"
"Oct 16, 2019","254.47","260.26","260.69","253.53","1.73M","-4.89%"
"Oct 15, 2019","267.54","263.44","269.39","263.01","1.27M","2.26%"
"Oct 14, 2019","261.64","259.82","262.00","259.09","731.80K","0.63%"
"Oct 11, 2019","260.00","258.40","262.46","257.74","1.04M","3.38%"
"Oct 10, 2019","251.49","249.14","254.24","248.38","836.63K","2.12%"
"Oct 09, 2019","246.27","245.56","247.95","244.84","437.63K","1.73%"
"Oct 08, 2019","242.08","244.05","245.60","241.51","577.35K","-2.16%"
"Oct 07, 2019","247.42","247.41","249.43","247.18","562.89K","0.56%"
"Oct 04, 2019","246.04","244.47","246.35","244.18","524.44K","0.69%"
"Oct 03, 2019","244.35","240.91","244.88","238.54","548.89K","1.69%"
"Oct 02, 2019","240.29","243.49","243.52","238.29","712.47K","-2.08%"
"Oct 01, 2019","245.39","249.17","250.17","244.68","656.16K","-1.22%"
"Sep 30, 2019","248.42","244.98","249.41","244.82","512.09K","1.93%"
"Sep 27, 2019","243.71","247.07","248.05","241.31","571.82K","-1.75%"
"Sep 26, 2019","248.04","249.56","249.64","246.47","621.18K","0.21%"
"Sep 25, 2019","247.53","242.67","248.03","241.17","541.79K","0.46%"
"Sep 24, 2019","246.39","248.74","249.94","245.14","607.36K","-0.84%"
"Sep 23, 2019","248.48","246.19","249.25","245.84","349.27K","1.09%"
"Sep 20, 2019","245.79","250.70","250.88","244.67","838.12K","-1.52%"
"Sep 19, 2019","249.59","250.43","252.11","249.59","416.36K","-0.08%"
"Sep 18, 2019","249.79","248.71","250.54","246.61","521.05K","0.68%"
"Sep 17, 2019","248.10","245.66","248.41","245.20","735.59K","0.77%"
"Sep 16, 2019","246.21","246.08","247.32","245.39","398.94K","-1.12%"
"Sep 13, 2019","248.99","250.36","251.23","248.37","934.05K","0.88%"
"Sep 12, 2019","246.83","245.10","248.21","244.60","828.00K","0.65%"
"Sep 11, 2019","245.24","241.68","245.24","241.24","782.46K","1.48%"
"Sep 10, 2019","241.67","240.07","241.67","238.11","735.55K","0.14%"
"Sep 09, 2019","241.33","239.08","242.32","238.88","536.70K","1.16%"
"Sep 06, 2019","238.56","238.19","240.11","237.17","872.12K","0.62%"
"Sep 05, 2019","237.09","236.35","238.03","235.70","982.34K","4.32%"
"Sep 04, 2019","227.27","224.74","227.45","224.18","443.78K","3.30%"
"Sep 03, 2019","220.02","220.65","221.58","218.90","613.36K","-1.16%"
"Aug 30, 2019","222.61","223.27","224.01","220.12","357.64K","1.31%"
